,National Administrator,Account Type,Account Holder Name,Installation/Aircraft ID,Installation Name/Aircraft Operator Code*,Company Registration No,Permit/Plan ID,Permit/Plan Date,Main Activity Type,Latest Compliance Code
188,Austria,Operator Holding Account,Energie AG Oberösterreich Umwelt Service GmbH,148,Energie AG FHKW Wels,FN 97685 f,EEW028,2004-01-01,Combustion of fuels,A
189,Austria,Operator Holding Account,Saint-Gobain Isover Austria GmbH,180,Saint-Gobain Isover Austria,FN 58044 i,IGL181,2004-01-01,Manufacture of glass,A
190,Austria,Operator Holding Account,TKV Oberösterreich GmbH,186,OÖ Tierkörperverwertung Regau,FN 363547d,ILE164,2004-01-01,Combustion installations with a rated thermal input exceeding 20 MW,A
191,Austria,Operator Holding Account,UPM-Kymmene Austria GmbH,171,UPM Kymmene Steyrermühl,FN 102055 g,IPA087,2004-01-01,Production of paper or cardboard,A
192,Austria,Operator Holding Account,Umdasch AG,196,Umdasch Amstetten,FN 101743 y,IHO188,2004-01-02,Combustion installations with a rated thermal input exceeding 20 MW,C
193,Austria,Operator Holding Account,D. Swarovski KG,64,Swarovski Wattens,FN 22150 z,IGL179,2004-01-02,Manufacture of glass,A
194,Austria,Operator Holding Account,Stahl- und Walzwerk Marienhütte Gesellschaft m.b.H.,155,Stahlwerk Marienhütte GmbH,FN 53523 k,IES070,2004-01-01,Production of pig iron or steel,A
195,Austria,Operator Holding Account,Technoglas Produktions-Gesellschaft m.b.H.,183,Technoglas Voitsberg,FN 62234 x,IGL174,2004-01-02,Manufacture of glass,A
196,Austria,Operator Holding Account,RAUCH Fruchtsäfte GmbH & Co OG,187,Rauch Nüziders,FN 200147 i,ILE167,2004-01-01,Combustion of fuels,A
197,Austria,Operator Holding Account,Merckens Karton- und Pappenfabrik GmbH,161,Merckens Karton- und Pappenfabrik GmbH,FN 195108 z,IPA098,2004-01-02,Production of pulp,A
198,Austria,Operator Holding Account,Fritz Egger GmbH. & Co. OG,190,Fritz Egger Wörgl,FN 141709x,IHO185,2005-07-06,Combustion of fuels,A
199,Austria,Operator Holding Account,Fritz Egger GmbH. & Co. OG,189,Fritz Egger Unterradlberg,FN 141709x,IHO186,2004-11-19,Combustion of fuels,A
